species	r10_b10-threshold-0.0001	r10_b10	r10_b11-threshold-0.0001	r10_b11	r10_b12-threshold-0.0001	r10_b12	r10_b13-threshold-0.0001	r10_b13	r10_b14-threshold-0.0001	r10_b14	r10_b15-threshold-0.0001	r10_b15	r10_b16-threshold-0.0001	r10_b16	r10_b17-threshold-0.0001	r10_b17	r10_b18-threshold-0.0001	r10_b18	r10_b19-threshold-0.0001	r10_b19	r10_b1-threshold-0.0001	r10_b1	r10_b20-threshold-0.0001	r10_b20	r10_b21-threshold-0.0001	r10_b21	r10_b22-threshold-0.0001	r10_b22	r10_b23-threshold-0.0001	r10_b23	r10_b24-threshold-0.0001	r10_b24	r10_b2-threshold-0.0001	r10_b2	r10_b3-threshold-0.0001	r10_b3	r10_b4-threshold-0.0001	r10_b4	r10_b5-threshold-0.0001	r10_b5	r10_b6	r10_b7-threshold-0.0001	r10_b7	r10_b9-threshold-0.0001	r10_b9	r11_b10-threshold-0.0001	r11_b10	r11_b11-threshold-0.0001	r11_b11	r11_b12-threshold-0.0001	r11_b12	r11_b13-threshold-0.0001	r11_b13	r11_b14-threshold-0.0001	r11_b14	r11_b15-threshold-0.0001	r11_b15	r11_b16-threshold-0.0001	r11_b16	r11_b17-threshold-0.0001	r11_b17	r11_b18-threshold-0.0001	r11_b18	r11_b19-threshold-0.0001	r11_b19	r11_b1-threshold-0.0001	r11_b1	r11_b20-threshold-0.0001	r11_b20	r11_b22-threshold-0.0001	r11_b22	r11_b23-threshold-0.0001	r11_b23	r11_b24-threshold-0.0001	r11_b24	r11_b2-threshold-0.0001	r11_b2	r11_b3-threshold-0.0001	r11_b3	r11_b4-threshold-0.0001	r11_b4	r11_b5-threshold-0.0001	r11_b5	r11_b6-threshold-0.0001	r11_b6	r11_b7-threshold-0.0001	r11_b7	r11_b8-threshold-0.0001	r11_b8	r11_b9-threshold-0.0001	r11_b9	r12_b10-threshold-0.0001	r12_b10	r12_b11-threshold-0.0001	r12_b11	r12_b12-threshold-0.0001	r12_b12	r12_b13-threshold-0.0001	r12_b13	r12_b14-threshold-0.0001	r12_b14	r12_b15	r12_b16-threshold-0.0001	r12_b16	r12_b17-threshold-0.0001	r12_b17	r12_b18-threshold-0.0001	r12_b18	r12_b19-threshold-0.0001	r12_b19	r12_b1-threshold-0.0001	r12_b1	r12_b20-threshold-0.0001	r12_b20	r12_b21-threshold-0.0001	r12_b21	r12_b22-threshold-0.0001	r12_b22	r12_b23-threshold-0.0001	r12_b23	r12_b24-threshold-0.0001	r12_b24	r12_b2-threshold-0.0001	r12_b2	r12_b3-threshold-0.0001	r12_b3	r12_b4-threshold-0.0001	r12_b4	r12_b5-threshold-0.0001	r12_b5	r12_b6-threshold-0.0001	r12_b6	r12_b7-threshold-0.0001	r12_b7	r12_b8-threshold-0.0001	r12_b8	r12_b9-threshold-0.0001	r12_b9	r13_b12-threshold-0.0001	r13_b12	r13_b14-threshold-0.0001	r13_b14	r1_b10-threshold-0.0001	r1_b10	r1_b11-threshold-0.0001	r1_b11	r1_b12-threshold-0.0001	r1_b12	r1_b13-threshold-0.0001	r1_b13	r1_b14-threshold-0.0001	r1_b14	r1_b15-threshold-0.0001	r1_b15	r1_b16-threshold-0.0001	r1_b16	r1_b17-threshold-0.0001	r1_b17	r1_b18-threshold-0.0001	r1_b18	r1_b19-threshold-0.0001	r1_b19	r1_b1-threshold-0.0001	r1_b1	r1_b20-threshold-0.0001	r1_b20	r1_b21-threshold-0.0001	r1_b21	r1_b22-threshold-0.0001	r1_b22	r1_b24-threshold-0.0001	r1_b24	r1_b2-threshold-0.0001	r1_b2	r1_b3-threshold-0.0001	r1_b3	r1_b4-threshold-0.0001	r1_b4	r1_b5-threshold-0.0001	r1_b5	r1_b6-threshold-0.0001	r1_b6	r1_b7-threshold-0.0001	r1_b7	r1_b8-threshold-0.0001	r1_b8	r1_b9-threshold-0.0001	r1_b9	r3_b10-threshold-0.0001	r3_b10	r3_b11-threshold-0.0001	r3_b11	r3_b12-threshold-0.0001	r3_b12	r3_b13-threshold-0.0001	r3_b13	r3_b14	r3_b15-threshold-0.0001	r3_b15	r3_b16	r3_b17	r3_b18-threshold-0.0001	r3_b18	r3_b19-threshold-0.0001	r3_b19	r3_b1	r3_b20	r3_b21	r3_b22	r3_b23-threshold-0.0001	r3_b23	r3_b24-threshold-0.0001	r3_b24	r3_b2-threshold-0.0001	r3_b2	r3_b3	r3_b4	r3_b5-threshold-0.0001	r3_b5	r3_b6	r3_b7-threshold-0.0001	r3_b7	r3_b8-threshold-0.0001	r3_b8	r3_b9	r4_b10-threshold-0.0001	r4_b10	r4_b11-threshold-0.0001	r4_b11	r4_b12-threshold-0.0001	r4_b12	r4_b13-threshold-0.0001	r4_b13	r4_b14-threshold-0.0001	r4_b14	r4_b15-threshold-0.0001	r4_b15	r4_b16-threshold-0.0001	r4_b16	r4_b17-threshold-0.0001	r4_b17	r4_b18-threshold-0.0001	r4_b18	r4_b19-threshold-0.0001	r4_b19	r4_b1-threshold-0.0001	r4_b1	r4_b20-threshold-0.0001	r4_b20	r4_b21-threshold-0.0001	r4_b21	r4_b22-threshold-0.0001	r4_b22	r4_b23-threshold-0.0001	r4_b23	r4_b24-threshold-0.0001	r4_b24	r4_b2-threshold-0.0001	r4_b2	r4_b3-threshold-0.0001	r4_b3	r4_b4-threshold-0.0001	r4_b4	r4_b5-threshold-0.0001	r4_b5	r4_b6-threshold-0.0001	r4_b6	r4_b8-threshold-0.0001	r4_b8	r4_b9-threshold-0.0001	r4_b9	r5_b10-threshold-0.0001	r5_b10	r5_b11-threshold-0.0001	r5_b11	r5_b12-threshold-0.0001	r5_b12	r5_b13-threshold-0.0001	r5_b13	r5_b14-threshold-0.0001	r5_b14	r5_b15-threshold-0.0001	r5_b15	r5_b16-threshold-0.0001	r5_b16	r5_b17-threshold-0.0001	r5_b17	r5_b1-threshold-0.0001	r5_b1	r5_b20-threshold-0.0001	r5_b20	r5_b21-threshold-0.0001	r5_b21	r5_b22-threshold-0.0001	r5_b22	r5_b23-threshold-0.0001	r5_b23	r5_b24-threshold-0.0001	r5_b24	r5_b2-threshold-0.0001	r5_b2	r5_b3-threshold-0.0001	r5_b3	r5_b4-threshold-0.0001	r5_b4	r5_b5-threshold-0.0001	r5_b5	r5_b6-threshold-0.0001	r5_b6	r5_b7-threshold-0.0001	r5_b7	r5_b8-threshold-0.0001	r5_b8	r5_b9-threshold-0.0001	r5_b9	r6_b10-threshold-0.0001	r6_b10	r6_b11-threshold-0.0001	r6_b11	r6_b12-threshold-0.0001	r6_b12	r6_b13-threshold-0.0001	r6_b13	r6_b14-threshold-0.0001	r6_b14	r6_b15-threshold-0.0001	r6_b15	r6_b16-threshold-0.0001	r6_b16	r6_b17-threshold-0.0001	r6_b17	r6_b1-threshold-0.0001	r6_b1	r6_b20-threshold-0.0001	r6_b20	r6_b21-threshold-0.0001	r6_b21	r6_b22-threshold-0.0001	r6_b22	r6_b23-threshold-0.0001	r6_b23	r6_b24-threshold-0.0001	r6_b24	r6_b2-threshold-0.0001	r6_b2	r6_b3-threshold-0.0001	r6_b3	r6_b4-threshold-0.0001	r6_b4	r6_b5-threshold-0.0001	r6_b5	r6_b6-threshold-0.0001	r6_b6	r6_b7-threshold-0.0001	r6_b7	r6_b8-threshold-0.0001	r6_b8	r6_b9-threshold-0.0001	r6_b9	r7_b10-threshold-0.0001	r7_b10	r7_b12-threshold-0.0001	r7_b12	r7_b15-threshold-0.0001	r7_b15	r7_b16-threshold-0.0001	r7_b16	r7_b17-threshold-0.0001	r7_b17	r7_b18-threshold-0.0001	r7_b18	r7_b19-threshold-0.0001	r7_b19	r7_b1-threshold-0.0001	r7_b1	r7_b20-threshold-0.0001	r7_b20	r7_b21-threshold-0.0001	r7_b21	r7_b22-threshold-0.0001	r7_b22	r7_b23-threshold-0.0001	r7_b23	r7_b24-threshold-0.0001	r7_b24	r7_b2-threshold-0.0001	r7_b2	r7_b3-threshold-0.0001	r7_b3	r7_b4-threshold-0.0001	r7_b4	r7_b5-threshold-0.0001	r7_b5	r7_b6-threshold-0.0001	r7_b6	r7_b7-threshold-0.0001	r7_b7	r7_b8-threshold-0.0001	r7_b8	r7_b9-threshold-0.0001	r7_b9	r8_b10-threshold-0.0001	r8_b10	r8_b11-threshold-0.0001	r8_b11	r8_b12-threshold-0.0001	r8_b12	r8_b13-threshold-0.0001	r8_b13	r8_b14-threshold-0.0001	r8_b14	r8_b15-threshold-0.0001	r8_b15	r8_b16-threshold-0.0001	r8_b16	r8_b17-threshold-0.0001	r8_b17	r8_b19-threshold-0.0001	r8_b19	r8_b1-threshold-0.0001	r8_b1	r8_b20-threshold-0.0001	r8_b20	r8_b21-threshold-0.0001	r8_b21	r8_b22-threshold-0.0001	r8_b22	r8_b23-threshold-0.0001	r8_b23	r8_b24-threshold-0.0001	r8_b24	r8_b2-threshold-0.0001	r8_b2	r8_b3-threshold-0.0001	r8_b3	r8_b4-threshold-0.0001	r8_b4	r8_b5-threshold-0.0001	r8_b5	r8_b6-threshold-0.0001	r8_b6	r8_b7-threshold-0.0001	r8_b7	r8_b8-threshold-0.0001	r8_b8	r8_b9-threshold-0.0001	r8_b9	r9_b10-threshold-0.0001	r9_b10	r9_b11-threshold-0.0001	r9_b11	r9_b12-threshold-0.0001	r9_b12	r9_b13-threshold-0.0001	r9_b13	r9_b14-threshold-0.0001	r9_b14	r9_b15-threshold-0.0001	r9_b15	r9_b16-threshold-0.0001	r9_b16	r9_b17-threshold-0.0001	r9_b17	r9_b18-threshold-0.0001	r9_b18	r9_b19-threshold-0.0001	r9_b19	r9_b1-threshold-0.0001	r9_b1	r9_b20-threshold-0.0001	r9_b20	r9_b21-threshold-0.0001	r9_b21	r9_b22	r9_b24-threshold-0.0001	r9_b24	r9_b2-threshold-0.0001	r9_b2	r9_b3-threshold-0.0001	r9_b3	r9_b4-threshold-0.0001	r9_b4	r9_b5-threshold-0.0001	r9_b5	r9_b6-threshold-0.0001	r9_b6	r9_b7-threshold-0.0001	r9_b7	r9_b8-threshold-0.0001	r9_b8	r9_b9-threshold-0.0001	r9_b9
Anaerocolumna jejuensis																																																																																																																																												10.085133466295783																																																																																																																																																																																																																									10.43855767643668		13.283762643374107																																																																																																																																54.776950095747495	51.16740527599802				12.469207401623986
Anaerocolumna xylanovorans						11.051588634992656														11.958752448172133										14.674198885500283																							22.50056577214696						13.599795914702892								36.1324730919108												19.822745444799427		12.729019215439097																									13.36892091300283																																		18.96458001458689										11.523015319136828																																																																																															31.738539902629828										16.69353329912149																																								14.917041161455158				15.484665662944488																																		26.07935314800071																								12.33277141161142																																																												10.902986783066716																																		15.252256641712355												12.02715058628058						17.788714597300466		16.85850606490013																34.43012612040988	33.22502897707119		24.700975617337196		24.516365740243145
Anaerofilum agile						23.482808809021908						20.283884841592123		11.213374175549353																						22.57582502810432		17.941289921823806															14.550855896107237																																				32.749582367338384															11.247861572911075	52.13430165345622	52.10113890710649	120.7187104783186	120.52916952671772																																										24.902440305398265																16.222013853867917																																																																														67.3282143293049	66.19011078923477									81.66642441790886	57.94519240295456																								18.46214664167475																17.625752753829733								26.674648818155063																13.425510938559148						13.328942585865658		13.6437386647351						20.27837723638978												21.26714186989843																																42.77436542671937						27.27817245667832																		24.94001677921368		11.06651667770561																																						17.959882865387836																										11.550620753020604		12.920684242825336																			16.160383532915837				
Anaerofilum pentosovorans	29.691151980926048	29.379187275014008		17.89193912237332		21.54002893035621				16.335468088729456		27.206363258695543		12.151365655200596							41.59350174847614	41.43334692688601						11.980751989703746		13.39738686548048		13.7187045963541	40.69672042252084	39.97254203783523		27.309962065472103	164.55327314909235	148.6477200032022					20.761231569357417				22.10054910690901						25.68391337252982								15.267557198066427		19.087763532853604				35.38291912155796				14.012046396929197								17.150936061924252			27.22759530225952	27.09291268862479	37.03130086767986	36.951251221029246			91.97885866534853	74.31168659849827		12.39944426164605		12.888840976443852											17.087099381659844			21.51340647879269	21.53721869533764									19.243209984457945	19.20339826661496				12.362522968471223		11.140735009508203						12.071556415606842				13.021138291002934						18.881035109395672			45.93879337272142	45.80701896128815				13.58795725271692	51.401561039427015	37.726091893011954		15.015696026623385				17.3361326532178								16.51531204089871	35.03179285306957	20.91128767520568		10.226834482127018						28.192932575845848						22.68765101551373	47.251978398103965	47.20385216202998							18.38649993556878	18.310909931757017																	18.3903179004496	26.311808360875112						14.361708137626367	14.3249860780982						32.50081744046395	32.507299395615426					16.909234228406696																	67.76318203722535	67.22332870279227		22.482625779579077		32.06614849778518		23.040872522135984				40.67960759289443				15.002255109336051															29.09842303936465	27.55292063922318			64.24469906103542	46.63394253650363	38.31292356047463	38.023434906788125														17.34078599358801		20.688350241181137				17.12444909751995		27.270314244591788		13.317372877666577		16.97123059264428									27.66440048881127	27.59557988871657		22.52295695822341		14.97973635756778				10.207881425113612	36.90886469190416	27.244055051266788			96.14696515995108	95.92110229519976		16.32527771474993		14.613504071273972		14.713822887549217				15.866486299904386				15.9169383868273			50.27830759945292	49.8534854237462			26.579179622414056	26.417367004184683	67.7963590566423	66.69599926794153			29.61759562384227	29.48639123764952		17.59079484510889		19.571793863479407													118.4505409725451	86.49092333905699				13.699412949190831		30.70810145492788				25.426088531881376														29.26611075559184	39.28984510978725	31.41049976747293	28.6562686310281	28.531164587688924	48.629362123579845	48.31788552080111		26.05094142073854					46.27631104559186	46.18565431430161		16.193856706711763										21.370809524163437				14.52743593715586		13.24574624326848						19.00776110551185					24.465946210161807	24.36779004623337						20.31856650627181	31.242823631960032	30.89252057235468		16.72073495462092	44.65581771284544	43.4582060729245			56.06325608743799	54.82094845124427		27.182970111242597		19.60307379355613	41.911066550751634	37.04078440660734		23.447376587262426		25.424821517473877		22.165526959050545													22.75313978994305	53.76760640330374	43.733903098269366		14.307329728695525		27.939540778430477
Anaerofustis stercorihominis										16.016558797931268						16.014990915839736								16.01341513758535						16.046807724921386					34.96545869153803	31.879319031713585																					13.013943644876033		22.02060670788845		13.02288709357441		18.210639756624243							44.07611595707167	44.03714684570897				30.0223904257431								11.010178464758129						26.01954949705274	45.11535444752887	43.04102380279455													12.075604152674474						13.021649214667404		12.01835206218907																																													29.059004522426346	29.03518987227145		19.020561956810894	37.06344768520594	36.0256960292849							116.27520491638262	116.07894816169411										15.01747411206576	23.059205184116863	23.036373555290364																																			14.02430203963547																												47.5476574240143																				27.020193612976023										11.012739078981328				12.013549275701084																				22.99534921923913		14.029148857674995		18.026134606561417														13.018472521381964										15.017306371884498			69.2351430823265	69.08813281487488		13.887411855792418																			31.67215924515547	31.617582615195005							22.055359182119744	22.03673005680415		15.942054846658346													170.33179201611563	170.0252085540217					141.2577852568392	129.37246752582044														12.00669261448104		10.841391643512702					25.08475783407328	25.052831632009884	35.41254852847894	35.378334977281924		38.2737395904291																								14.02044049277517				23.027153966583683																												30.026170530948686			27.215801922005856	27.166270813950177				16.828372404634266													13.0079628099868		12.53834149840886		14.01559140540355		
Anaeroglobus geminatus																																																																				38.19340011618516	38.06181217435506																																																																																																75.24207911160333	75.14648291530895																																																																																																					21.01140265239187																					387.1121735283061	385.7267767382049																																																																																																																																																									12377.678096717897	12348.037587159288																																																	
Anaeromassilibacillus senegalensis	280.95847377448257	276.24026162310685	3476.7314638627613	3471.950612846466	208.74994648658557	203.5270074083155	184.2855113576463	177.47505549082524	1838.5061352532257	1832.1707915062573	72.32904870709412	65.46263550502648	89.40211230916776	81.91300680306603	2644.595162902859	2632.8050262330557			656.5883480539262	654.8621027739708	1427.2017605302458	1418.214775531147	758.1215025440521	754.8974626569413	311.3687915544251	304.98650711429707	1201.4432182414153	1193.5464608539062	1129.4239218395387	1126.5032384667245	455.8587308965965	444.72331411524095	1243.8805727472395	1220.437701514996	2914.4832501437086	2898.879553568106	6811.428087820765	6796.186795210347	227.7824523073688	221.69641425265732		1001.6316253469108	996.4206464413433	1559.274057966749	1522.5368146662397	2160.312525802431	2146.891143147363		25.26476656352518			2509.0108585377848	2493.4734534747413	810.8744165478995	801.6358867544749	164.28442753741513	160.7824332097916	249.91020704103477	247.5982441403894	8382.467713821656	8376.863658421924	1817.853414036707	1811.3796480822768	296.29956650035643	293.7092225762973	1240.632631826416	1233.636117828952	256.2938705343619	240.39182887893077	248.7858038537653	249.04894640524125	358.13149674359187	342.497439379372	690.9411897771647	682.7200442638295	268.47603666090185	261.83720951083524	878.0828738686483	865.5551847371732	206.3507567805088	191.36337475607493	85.50628960835087	79.2169695381318			996.4738503399458	993.4190170760936	581.2854036802056	546.1785468805327	2922.9990598817576	2913.3167686444	228.95685321968477	227.5487220132426	152.7259539019073	150.89152636762682	130.11665423435258	125.34365639321024	1155.0866641418024	1152.7581725297528	5543.304155284873	5529.142291204684		2313.563408148767	2302.300562724587	22.912937443962143	22.86334867710878	224.48555437514105	221.29782106231272	577.5419363157644	576.1917563979197	1479.217378969768	1477.2384954757556	195.2365176423341	194.9627744533828	260.77294197737746	258.3197228794925	694.2992559417078	692.9612180528328	153.25222171875242	152.0136989395928	215.5529518125532	215.4394576321521	298.6177021835225	297.40965006125305	412.3996790529304	410.28518052224416	3588.214932654162	3580.631589322002	271.14948279914773	268.9796286423107	57.64954504398775	55.02094627375397	800.9585615062148	785.4687854973427	144.89691728042106	128.49995952365308	91.317373578918	89.9448167995198	641.4525049759952	571.8644041915006	1231.70750515562	1164.1377635276776	2734.249206949241	2719.7100778417584	540.9060013781645	537.5808201731907	535.7612565466648	527.3345944898819	2833.4868655821656	2823.747786956684	1049.652058775653	1047.9018250328093	731.2432471985695	730.3393935451198	218.7124014588665	211.2353663208429	753.7533721254963	739.3123047453107	1292.008072121075	1278.0712697729327	1718.8786461355091	1706.7406938191202	453.72728007666814	451.4582933521413	532.7745433107185	527.4567897227711	213.90339462055988	210.91889821912895	8931.070153197987	8913.862572411279	793.0685081337192	782.4560799276429	481.2082776629494	474.8164631287856	200.1627379866967	195.21561306089663	845.4918731958869	839.2614887475066	718.2023168040772	704.9600453574637	684.3765903580658	676.3218072788463			100.74941335409154	96.63098728136316	99.06825702371832	96.0633471688128	1426.2510590211723	1425.3772019574687	243.0926401333457	242.5203376848056	120.52129428706635	120.59531055408353			29.590359144591574	374.8382332925006	375.1563189737177	104.0821628249091		156.62882943014122	156.64199154010308	596.9147328400352	596.7208415024296	118.91811776717186	152.23193451304113	111.109569557286	148.5761774535194	221.8543885024864	221.80601732835171	319.9635096010362	320.0121705837579	618.1352757539025	618.192314401695	238.86859276080284	34.66389793430464	106.68785733272853	106.64457226877754	68.09792581018031	81.53917766247221	81.56793044041139			155.2742612041957	550.6139245612401	546.7805436516484			394.1843578753506	380.3075613969239			93.71178784771357	63.937402392057045	99.20716611188068	72.76401696893718	255.62596684869808	254.1859748676427	444.68477627001545	437.5360293409513	113.82482299849454	103.98717577165668	8364.827803434011	8331.51955080622	658.9369342977484	648.2664668931438	587.9745956996935	579.7783783209331	1366.7880565535083	1335.9117753239475	2303.2183093094427	2299.608947279164	2913.0264944523515	2872.788883133067	257.7520765523148	246.1368752870241	294.3746911103629	278.82636565969136		22.985054207049995		15.007043130604172	427.6168584345119	413.37244218611806	96.87778486165809	91.22676456129112	2188.1760450598845	2173.441174501061		16.98881229166041	334.3636920138398	331.2668647438705	697.0198051888542	696.5260645307569	808.0719209725277	805.5744249479567	752.7818709520857	751.3987761017614	984.4398433090158	982.5806332032598	59902.04292264907	59811.99453853671	2334.5307275194778	2322.664294966712	614.5929387257014	604.996290723149	134.22632438680537	126.40831219564208	219.9018382726944	217.48280968316885			305.4664246186948	301.85991677027147	1745.701299739595	1730.9546200790992	3216.9291932164724	3206.38019677214	560.0914170276544	557.1744322805248	1603.738996934512	1595.4579804683435	726.2939097495145	722.1014118010028	410.6018445821168	399.39452821229736	2064.224988378164	2058.6492244260235	329.8406485204624	326.15624986086885	411.0596851461018	409.7432807342786	127.36217857138094	124.31731396432473	1657.2215725076053	1647.6862122553655	632.3675625880666	631.5144699546283	2879.909447831972	2869.498565280342	1914.5404188523755	1898.0012304651568	409.25547762186415	402.6208294896955	1352.794223778591	1340.543681441345	160.2558227086056	159.9676775304155	209.50153577855605	198.3221447656158	896.3026055329192	891.2202639070749	705.5450273360256	704.1404498868757	446.6411534199872	445.8211789224876	295.36162655640425	295.3316508690009	1717.6710743731333	1713.104229122055	354.1425258478192	351.0042446887419	1655.7922690710152	1652.6274572830966	391.0627574015965	390.6446955625093					1802.903535037745	1798.0333920447615	1383.0587808467355	1378.6961785912138	445.3789988352355	438.8410947399669	1307.5211164705668	1301.0365899771973	447.0722111954199	445.8276597047044	3915.00729987614	3898.2538453484094	55.07993371835063	49.24605647897726		11.483815422545977		16.15068755763324		16.04177711123359	97.13549413305628	90.86905315167704	165.32123627026078	155.3614807816539	1609.9183092733483	1584.59485551562	348.79733349278433	333.3779174349874	463.6994347242612	460.03773214500495	1119.9350201090976	1115.2675231656906	112.45340953684382	78.69455121190506	507.8871287871617	504.7586893733262	154.7022226201275	148.01628312753292			2319.999012722568	2303.169400446734	596.0065645190416	587.9547664263331	857.4420653500222	851.4239002862405	505.0107854598284	501.8053529105263	1125.850649206776	1103.5356613955748	1390.912648213658	1388.3085967782438	985.069418936004	982.0198351060168	5550.090517889219	5540.13081619799	423.4900857949984	400.5217137892613	1315.3592170177371	1256.4318871131538	750.6299398139643	733.4695405435715	227.16055969096757	218.790518559246	1426.6088341254565	1401.6927859685472	451.7282659713919	450.30671390119727			27.518741404890708	27.62049391568776	40.77906952554887	36.458524106338565	244.6691014607454	238.2771161400397	414.3094610303327	403.8529403233234	405.77685113923184	399.3890198271204	439.45766254246246	426.70523799590046	138.91988920584265	112.07493030538402	338.5618189226658	337.4448386894644	899.3460964680089	891.6517459391259	291.7683073776189	279.3238196234637	51.30426640903335	34.067549044882504	434.3139605233451	432.933610888025	372.1574609174508	369.1436137287377	95.83321307783208	81.94580770097471	886.8872827406207	876.3254812435189	3143.1917706479176	3131.148207001324	295.8523518490344	285.40562605589463	937.9061635495724	936.456426774988	478.2011012293125	443.62718363669785	738.9953081599563	718.7416063503601	815.5532014590908	807.1065910276786	208.8679572362056	204.4879707284724	859.4217703205824	852.0392090349966	1971.3557212562769	1966.1298092590173	489.7519571261714	474.76285845143065	962.0571787059704	960.0094276840634	1.0232558139534884	674.0630908766592	664.7294539463247		34.12093816783806	509.2836203235219	500.85662164723806	223.19887016068432	214.57191386811715	361.13438218391263	349.73293730253823	699.7106888814674	677.1666181057734	1468.5037347838572	1455.6672016981968	451.2547773513326	440.9539541045091	728.1120294821967	721.8376348764418
Anaerophaga thermohalophila																																			71.94341244078502	62.00686257923607																																																																																																																																																																								15.237725937111552	15.07930594478488																																																																																																																																																																																																				12.091791082509586																																																																																											19.24600612086216
Anaeroplasma abactoclasticum																																																																																																																																																																																							307.0936510528848	292.67043732101035																																																																		89.36210784900429	86.23984037109062																																											90.24276103113992	81.60713634970907			665.550596250309	663.8207362799113																																																																																																																																																																																																	
Anaeroplasma bactoclasticum																																																																																																																																																																																							235.590775569809	227.9902711053151																																																																																																																		30.605046958381926	30.581950997729976																																																																																																																																																																																																	
Anaeroplasma varium																																																																																																																																																																																							3846.495218684308	3781.717663077315																																																																		106.15458761665492	105.89364298464226																																												22.343300469136132			851.7433102726727	850.7757656210906																																																																																																																																																																																																	
Anaerorhabdus furcosa																																																																				111.507082709647	104.40781933071004																																																																																																				32.37254912135686	32.20836410185078													404.14682670520136	393.5953527718533																																																																																																																																																																								41.36180415634164	35.13329607986347																																																																																																																																											
Anaerosinus glycerini																																																																																																																																																													293.5791239637516	292.8136222569866	29.379130890900445	29.20292287273925	47.77890007370458	47.74020131130275																																			25.97815228107204																																																																																																																																																																																																																																																					53.347131843098	53.15942526355786																																																	
Anaerosphaera aminiphila																																																																																																																																																																																																																																																																																																70.7148575641061	68.54610638835928																																																																																																																																																																																																											
Anaerosporobacter mobilis																																																																																																																																																																																																																																																																																																																																																																																															11.383388186064982																																																											348.1753377745408	333.2744492800641																																													15.866988985356809				
Anaerosporomusa subterranea																																																																																																																																												13.00584937037192																																																																																																																																																																																																																																																																																																																																																																
Anaerostipes butyraticus		15.208349404266496	31.798258806205528	31.526578035435488	43.65780733556157	41.920750218187		11.490932317382525		22.711649707299244		17.37954091135868				17.314865939577718				12.93456209838151		32.39886083434177							39.273676868369385	36.21524127980307		13.8097461512549	44.33453235814261	39.72362204325276	45.45646004011949	40.90148138385079		13.10869381277094							13.05941979070241								19.57833944148295		13.848692869087618				11.966909427053077		17.896087675115417		25.303000110118248			50.40930600551873	44.435569424371856						11.065537927322776		19.046364657041288				32.83847569291313		11.893450030361205								10.231047441267778																33.96439994294242	33.68036287413925		18.86327930072624				16.20663396782119					23.303896565802027	23.168164508301945										11.993542274713208						15.081838740253254						42.124208842422505				22.234410030521328		13.31917803583419		15.309616845315682	44.8461427614394	38.99179626646336		12.221275607295569							25.684256848002622	24.598457057893143					21.81577548215791	20.78288301402251		12.633038338970175		13.9717443333499																																																								39.8021070958732	37.07431323599108				13.575794558091372														13.20929805131004		31.845267470147945		28.18918833530971	88.06885607010945	85.15328235362831			83.3164889849283	80.75158275284355		14.079492242488875		17.773715109874537		12.966584917843882		16.252392705564365	53.16486784570501	51.12883804712553										14.005995054033134			38.06684515177984	37.00960319926364	66.42479878069562	62.57423702663422				28.22545690634696	31.145954587167584	30.89538250774499							56.32288393582397	53.41675008449256		16.768995493531907	46.14163697603732	43.67389269065198		20.4899601103122		12.345862841165864		17.495735732174627	49.02116420855888	48.943992745349874		15.373135812993016								15.426135845882962		21.707363105806763								12.405798960960931						16.479124876502073													50.82303363218304	50.47175364096972					62.5069344002502	57.95588902457931			61.29989117644285	57.08306154077105	77.51604390484106	71.36614308517674	24.95758123940574	24.78010205118616		20.50177647957553		18.7206250402195												13.602698656807169				22.09322349352072	148.089604285998	143.26106888716953																		12.376467926243516	25.43395041689925	24.10020598018541	28.038550975660204	26.286723997068613		13.464370207248386		25.50152729911012																																37.37269189591406		13.515069250976907	21.92434950243021	21.48686720109353		14.703051983965958				19.62109911247548								11.707197124329154			53.0207415545569	51.11404440141924				16.385967591962252	49.95116209605269	48.07406031645141		21.514436524075943					25.218500905415										16.859487724940653	237.95172873645157	232.0940508989188	36.83917954641896	35.71477912853659	80.43791482456984	76.78059653195714
Anaerostipes caccae								16.314695431579725		20.77677111817833						32.95512368367169																											11.421428422153369																								12.748462942376229			401.8790857263243	401.36499345362336			136.30314989437704	134.56606442496494				27.792942340317563																																																													20.48522393032859																	26.74881044806576	26.693592329550004	24.717045048756525	24.707027200817	44.126483904367966	44.08217939363145																			203.0415429879292	202.86224866850503																								13.040207449620045	17.044549234403995																28.09553130769516	28.07539064711272									32.10805740587711					195.6141291066704	173.97195631652897													405.4766058010408	403.99605516683823																																																16.764547744998097																																								22.016897670831803												18.7147931065131				11.07939836241008																												11.583311143509638														24.041967348539888																								17.40517742153343		12.447704383627944																																																		134.5105486476322	134.33467750002222												19.207230752767057				
