OTU,superkingdom,phylum,class,order,family,genus,species
sp23,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,Acholeplasma vituli
sp24,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XII. Incertae Sedis,Acidaminobacter,Acidaminobacter hydrogenoformans
sp25,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus fermentans
sp26,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini
sp27,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii
sp28,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces dentalis
sp29,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces johnsonii
sp30,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces massiliensis
sp31,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces naeslundii
sp32,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces oris
sp33,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces pacaensis
sp34,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 171
sp35,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 414
sp36,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 848
sp37,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acutalibacter,Acutalibacter muris
sp38,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens
sp39,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus christensenii
sp40,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus urinaeequi
sp41,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus vaginalis
sp42,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus viridans
sp43,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Aestuariispira,Aestuariispira insulae
sp44,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Agathobacter,Agathobacter ruminis
sp45,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,Agathobaculum butyriciproducens
sp46,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,Agathobaculum desmolans
sp47,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus
sp48,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter segnis
sp49,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium larrymoorei
sp50,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium rubi
sp51,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens
sp52,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ahrensia,Ahrensia kielensis
sp53,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ahrensia,Ahrensia marina
sp54,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia glycaniphila
sp55,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila
sp56,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus acidiphilus
sp57,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus fastidiosus
sp58,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus ferrooxydans
sp59,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus pomorum
sp60,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus tolerans
sp61,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Aliicoccus,Aliicoccus persicus
sp62,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Aliidongia,Aliidongia dinghuensis
sp63,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aliihoeflea,Aliihoeflea aestuarii
sp64,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes communis
sp65,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes dispar
sp66,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii
sp67,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes ihumii
sp68,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes indistinctus
sp69,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes inops
sp70,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes megaguti
sp71,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii
sp72,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis
sp73,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes senegalensis
sp74,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii
sp75,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes timonensis
sp76,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Alkalibacter,Alkalibacter saccharofermentans
sp77,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Alkalibaculum,Alkalibaculum bacchi
sp78,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Alkaliflexus,Alkaliflexus imshenetskii
sp79,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalihalobacillus,Alkalihalobacillus akibai
sp80,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalihalobacillus,Alkalihalobacillus algicola
sp81,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalihalobacillus,Alkalihalobacillus berkeleyi
sp82,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalihalobacillus,Alkalihalobacillus decolorationis
sp83,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalihalobacillus,Alkalihalobacillus halodurans
sp84,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalihalobacillus,Alkalihalobacillus hemicellulosilyticus
sp85,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalihalobacillus,Alkalihalobacillus hunanensis
sp86,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalihalobacillus,Alkalihalobacillus krulwichiae
sp87,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalihalobacillus,Alkalihalobacillus lehensis
sp88,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,Alkaliphilus hydrothermalis
sp89,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,Alkaliphilus metalliredigens
sp90,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,Alkaliphilus namsaraevii
sp91,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,Alkaliphilus oremlandii
sp92,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,Alkaliphilus peptidifermentans
sp93,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Alkalitalea,Alkalitalea saponilacus
sp94,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans
sp95,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Allobaculum,Allobaculum stercoricanis
sp96,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Allofustis,Allofustis seminis
sp97,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella rava
sp98,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella sp. E39
sp99,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella tannerae
sp100,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Alterileibacterium,Alterileibacterium massiliense
sp101,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Altibacter,Altibacter lentus
sp102,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus,Amedibacillus dolichus
sp103,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Aminipila,Aminipila butyrica
sp104,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Aminipila,Aminipila sp. JN-18
sp105,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Anabaena,Anabaena cylindrica
sp106,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anaerobacillus,Anaerobacillus alkalidiazotrophicus
sp107,Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Anaerobacterium,Anaerobacterium chartisolvens
sp108,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens
sp109,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii
sp110,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobium,Anaerobium acetethylicum
sp111,Bacteria,Firmicutes,Clostridia,Clostridiales,Proteinivoraceae,Anaerobranca,Anaerobranca horikoshii
sp112,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii
sp113,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Anaerocella,Anaerocella delicata
sp114,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus degeneri
sp115,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus hydrogenalis
sp116,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus jeddahensis
sp117,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus lactolyticus
sp118,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus mediterraneensis
sp119,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus murdochii
sp120,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus nagyae
sp121,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus obesiensis
sp122,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus octavius
sp123,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus prevotii
sp124,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus rubeinfantis
sp125,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus senegalensis
sp126,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus tetradius
sp127,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus urinomassiliensis
sp128,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus vaginalis
sp129,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerocolumna,Anaerocolumna aminovalerica
sp130,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerocolumna,Anaerocolumna cellulosilytica
sp131,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis
sp132,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerocolumna,Anaerocolumna xylanovorans
sp133,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerofilum,Anaerofilum agile
sp134,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerofilum,Anaerofilum pentosovorans
sp135,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis,Anaerofustis stercorihominis
sp136,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Anaeroglobus,Anaeroglobus geminatus
sp137,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaeromassilibacillus,Anaeromassilibacillus senegalensis
sp138,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Anaerophaga,Anaerophaga thermohalophila
sp139,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Anaeroplasma,Anaeroplasma abactoclasticum
sp140,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Anaeroplasma,Anaeroplasma bactoclasticum
sp141,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Anaeroplasma,Anaeroplasma varium
sp142,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Anaerorhabdus,Anaerorhabdus furcosa
sp143,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Anaerosinus,Anaerosinus glycerini
sp144,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerosphaera,Anaerosphaera aminiphila
sp145,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerosporobacter,Anaerosporobacter mobilis
sp146,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Anaerosporomusa,Anaerosporomusa subterranea
sp147,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes butyraticus
sp148,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes caccae
sp149,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus
sp150,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes rhamnosivorans
sp151,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotaenia,Anaerotaenia torta
sp152,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,Anaerotignum aminivorans
sp153,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,Anaerotignum faecicola
sp154,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,Anaerotignum lactatifermentans
sp155,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,Anaerotignum neopropionicum
sp156,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,Anaerotignum propionicum
sp157,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,Anaerotruncus colihominis
sp158,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,Anaerotruncus rubiinfantis
sp159,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Anaerovibrio,Anaerovibrio lipolyticus
sp160,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Anaerovorax,Anaerovorax odorimutans
sp161,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Anseongella,Anseongella ginsenosidimutans
sp162,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Apibacter,Apibacter adventoris
sp163,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Apibacter,Apibacter raozihei
sp164,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Aquabacterium,Aquabacterium olei
sp165,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aquamicrobium,Aquamicrobium segne
sp166,Bacteria,Proteobacteria,Alphaproteobacteria,,,,Aquaspirillum polymorphum
sp167,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,Arcobacter butzleri
sp168,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,Arcobacter cryaerophilus
sp169,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Arenibacter,Arenibacter nanhaiticus
sp170,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Asaccharobacter,Asaccharobacter celatus
sp171,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Asaccharospora,Asaccharospora irregularis
sp172,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ascidiaceibacter,Ascidiaceibacter salegens
sp173,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Asteroleplasma,Asteroleplasma anaerobium
sp174,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,Asticcacaulis solisilvae
sp175,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopobacter,Atopobacter phocae
sp176,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,,Atopobiaceae bacterium
sp177,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes,Atopostipes suicloacalis
sp178,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aureimonas,Aureimonas glaciei
sp179,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aureimonas,Aureimonas glaciistagni
sp180,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Aureimonas,Aureimonas populi
sp181,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aureitalea,Aureitalea sp. RR4-38
sp182,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Auricoccus,Auricoccus indicus
sp183,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum brasilense
sp184,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum fermentarium
sp185,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum lipoferum
sp186,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum sp. TSH100
sp187,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum sp. TSH58
sp188,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum thiophilum
sp189,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus anthracis
sp190,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus
sp191,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus ciccensis
sp192,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus funiculus
sp193,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus horti
sp194,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus mannanilyticus
sp195,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus mycoides
sp196,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus panaciterrae
sp197,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis
sp198,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus thuringiensis
sp199,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus tianmuensis
sp200,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus velezensis
sp201,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,,Bacteroidales bacterium CF
sp202,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides acidifaciens
sp203,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae
sp204,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caecicola
sp205,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caecigallinarum
sp206,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caecimuris
sp207,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus
sp208,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides clarus
sp209,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii
sp210,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides faecichinchillae
sp211,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides faecis
sp212,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii
sp213,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis
sp214,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides gallinaceum
sp215,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides gallinarum
sp216,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides graminisolvens
sp217,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides helcogenes
sp218,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides heparinolyticus
sp219,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ihuae
